Combustível calcinador (t/h),Combustível forno (t/h),Alimentação (t/h),Velocidade do exaustor(%),Temperatura Ar Secundário,O2% - CAIXA,NOx (ppm) - CAIXA,O2% - Saida da Torre de ciclone,Temperatura na Caixa de Fumaça ,Torque do Motor ,CaO Livre
11.62827326086469,9.38605445402421,366.1977767891167,64.68772597342495,1083.728284252954,3.4197860975148466,1035.8043418127832,4.231848403493434,1038.5690373516213,44.259567319344924,1.5198626666666664
11.630047507489346,9.387258985568591,366.2454681574973,64.6877780205563,1083.8865875279134,3.4219259089219562,1035.586177830668,4.231001457811124,1038.6568419772357,44.274423020539636,1.5234766666666666
11.631288491025147,9.38845914419333,366.2938813319525,64.68788336647248,1084.0321574416494,3.4241659321259137,1035.4512966765708,4.230202722262885,1038.7461379171475,44.28529346079292,1.527098888888889
11.632144958895427,9.389663203282405,366.34162778014183,64.68771263222753,1084.1635462632648,3.427536039452749,1035.5330478632072,4.230137385809727,1038.8392050065208,44.29814618864772,1.5307293333333334
11.632801995663852,9.390859910757257,366.389609085378,64.68775334455923,1084.2797725286287,3.4309350870054183,1035.6449106385269,4.230250962634424,1038.9325435419182,44.304856871729456,1.534368
11.634164449503361,9.39205880844812,366.43758829993504,64.68627417429786,1084.3835751811093,3.4341723941823368,1035.7115108233509,4.229885589726979,1039.0285167576199,44.31128412245843,1.538014888888889
11.636459370637548,9.393255102406936,366.4857110747249,64.68629070480492,1084.4646852714363,3.4307635860151806,1035.292973381227,4.228845333046124,1039.0954896541875,44.32069656331299,1.5417206666666665
11.63897380102158,9.394449926680396,366.53335745022036,64.68626706609821,1084.5568486018167,3.431350793540481,1034.970666480341,4.228322139430623,1039.173970777238,44.32932713060473,1.5454346666666667
11.641127625542815,9.395650475597984,366.58212601212983,64.68604709690136,1084.6468068706288,3.4339334552864993,1034.6754213242593,4.227830643315199,1039.2642736449095,44.32527591107255,1.549156888888889
11.64269350266459,9.396854452468942,366.6294894354802,64.68621059836772,1084.723312038774,3.437042951206952,1034.3012537284558,4.227257175075176,1039.3661184400514,44.322175934737466,1.5528873333333333
11.645303313514779,9.398395000023953,366.67779655878815,64.68629484354648,1084.7246972715645,3.441216639430084,1034.2709867988162,4.2272175740429345,1039.4767763542736,44.319140646587776,1.556634888888889
11.648388776393451,9.399995876763601,366.71719602110306,64.68008754059761,1084.6523308346896,3.4464009855812163,1034.386689620732,4.227461072840318,1039.5832364911005,44.31449580810606,1.5603906666666667
11.65126584584113,9.401596576154434,366.7570132965564,64.67211185896163,1084.5119479572882,3.452510858592937,1034.3914459660973,4.227622847113102,1039.6891425284819,44.30701326683334,1.5641546666666666
11.652325097499153,9.406396073504173,366.7568066775106,64.67216684831489,1084.2911502587722,3.4529704212978136,1034.094611171784,4.2276737283768755,1039.849785699191,44.320050515203,1.5690524444444445
11.65247840355513,9.411193813315696,366.73667593573373,64.67233145377266,1084.284981342135,3.4536690967445587,1033.7068707085434,4.227227444464844,1039.9764162448462,44.32108064367849,1.5739784444444445
11.650022777635009,9.415964424652135,366.7170854770221,64.67245273803587,1084.2605993071868,3.4540493833602706,1032.3589652559046,4.226462025758303,1040.1265833305984,44.3310341112609,1.578908
11.647650830521144,9.420765603366117,366.73657108580124,64.66444548378699,1084.3778659969134,3.453106234857961,1030.6973009296203,4.225391482416665,1040.2128014114662,44.33001902060547,1.5833240000000002
11.645805402144324,9.42556745429802,366.7571908814877,64.65620469186358,1084.4867104955167,3.4520005922979755,1029.4114266256688,4.222846225175679,1040.2959552301788,44.32682053057143,1.5877415555555556
11.64566434810329,9.430366386342921,366.77654810258366,64.64826792905373,1084.597973279083,3.454969407363926,1028.995810224155,4.219682746986115,1040.3508604919605,44.332687638672404,1.5921808888888889
11.644744622912778,9.43516509666948,366.79731340213766,64.64019472514315,1084.7355297483991,3.4562713845892024,1028.7583400533924,4.215918338427523,1040.4140481109816,44.33725075073429,1.5966217777777776
11.64314265690615,9.439965699790005,366.8167596624746,64.63211247942718,1084.9264971395903,3.4579577851130234,1028.7678417120458,4.21203421190447,1040.4798870595564,44.34527788015249,1.6010662222222223
11.64080972888167,9.44476085611417,366.8365961104092,64.62433416135494,1085.1068589996971,3.4596817632497747,1028.2418643207427,4.208969613758221,1040.5473939470662,44.3580304094854,1.6054722222222222
11.638959096240031,9.449561174513232,366.8570391046655,64.61617136727472,1085.3029489967073,3.4612659938996235,1027.828180858205,4.206363953880312,1040.6109640868403,44.37014749654578,1.609873111111111
11.63763833808829,9.454365235794969,366.8776138387116,64.60805721994493,1085.5061556051855,3.4631775574259906,1027.5511256213151,4.203672030213232,1040.6741334305486,44.383217177924244,1.614268888888889
11.635566791957727,9.459167755119108,366.8973720110366,64.6003760614001,1085.7067769511646,3.4631368448401343,1027.3027890633607,4.201400979766305,1040.7315434452148,44.39820343990644,1.6186355555555556
11.633234178363843,9.46396941146214,366.9185854323621,64.59218880620895,1085.9153942827875,3.463145097734712,1027.0800678427847,4.199269120712382,1040.792701744318,44.41407037095005,1.622997111111111
11.631018605553994,9.468772312840212,366.93750765469065,64.5842021162299,1086.1397187683488,3.463376800185511,1027.0500132681088,4.196248032567284,1040.858009080467,44.42868820717155,1.6273535555555556
11.627628285114117,9.473572625730014,366.9460116271542,64.57602378052957,1086.4329893809077,3.4626951463362365,1027.0650702100747,4.193643417477229,1040.9540563258868,44.437258142158875,1.631602888888889
11.624378748287453,9.478371781017872,366.9460349122157,64.56808881899806,1086.7488641463935,3.46240983656383,1027.1033757230148,4.19094528480582,1041.0534691648345,44.44496674776628,1.6358471111111113
